Kanji	On'yomi	Kun'yomi	Jinmeiyo	Grade	Stroke Count	Heisig	Heisig 6th	Newspaper Frequency	Meanings	Heisig Keyword
節	セツ, セチ	ふし, -ぶし, のっと	たかし	4	13	1464	1574	934	node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody	node
退	タイ	しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く		5	9	1465	1575	424	retreat, withdraw, retire, resign, repel, expel, reject	retreat
限	ゲン	かぎ.る, かぎ.り, -かぎ.り		5	9	1466	1576	405	limit, restrict, to best of ability	limit
眼	ガン, ゲン	まなこ, め		5	11	1467	1577	1527	eyeball	eyeball
良	リョウ	よ.い, -よ.い, い.い, -い.い	じ, なが, まこと, よし, ら, りょ, ろう	4	7	1468	1578	501	good, pleasing, skilled	good
朗	ロウ	ほが.らか, あき.らか	あき, あきら, お, さえ, ろ	6	10	1469	1579	1374	melodious, clear, bright, serene, cheerful	melodious
浪	ロウ		なに, なみ	8	10	1470	1580	1508	wandering, waves, billows, reckless, unrestrained	wandering
娘	ジョウ	むすめ, こ		8	10	1471	1581	1145	daughter, girl	daughter
食	ショク, ジキ	く.う, く.らう, た.べる, は.む	ぐい	2	9	1472	1582	328	eat, food	eat
飯	ハン	めし	い, いい, いり, え	4	12	1473	1583	1046	meal, boiled rice	meal
飲	イン, オン	の.む, -の.み		3	12	1474	1584	969	drink, smoke, take	drink
飢	キ	う.える		8	10	1475	1585	1659	hungry, starve	hungry
餓	ガ	う.える		8	15	1476	1586	1754	starve, hungry, thirst	starve
飾	ショク	かざ.る, かざ.り	しか	8	13	1477	1587	1193	decorate, ornament, adorn, embellish	decorate
館	カン	やかた, たて	たち	3	16	1478	1589	613	building, mansion, large building, palace	Bldg.
養	ヨウ, リョウ	やしな.う	や	4	15	1479	1591	888	foster, bring up, rear, develop, nurture	foster
飽	ホウ	あ.きる, あ.かす, あ.く	あき, あく	8	13	1480	1592	1780	sated, tired of, bored, satiate	sated
既	キ	すで.に		8	10	1481	1593	1081	previously, already, long ago	previously
概	ガイ	おおむ.ね		8	14	1482	1594	1335	outline, condition, approximation, generally	outline
慨	ガイ			8	13	1483	1595	1875	rue, be sad, sigh, lament	rue
平	ヘイ, ビョウ, ヒョウ	たい.ら, -だいら, ひら, ひら-	たいら, たら, はち, ひ, ひとし, へ, へん	3	5	1484	1596	128	even, flat, peace	even
呼	コ	よ.ぶ	よぶ	6	8	1485	1597	498	call, call out to, invite	call
坪	ヘイ	つぼ		8	8	1486	1598	1823	two-mat area, approx. thirty-six sq ft	two-mat area
評	ヒョウ			5	12	1487	1599	454	evaluate, criticism, comment	evaluate
刈	ガイ, カイ	か.る	かっ, かり	8	4	1488	1600	1738	reap, cut, clip, trim, prune	reap
希	キ, ケ	まれ	のぞ, のぞみ	4	7	1489	1602	896	hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal	hope
凶	キョウ			8	4	1490	1603	1673	villain, evil, bad luck, disaster	villain
胸	キョウ	むね, むな-		6	10	1491	1604	1144	bosom, breast, chest, heart, feelings	bosom
離	リ	はな.れる, はな.す		8	19	1492	1605	555	detach, separation, disjoin, digress	detach
殺	サツ, サイ, セツ	ころ.す, -ごろ.し, そ.ぐ		4	10	1493	1607	581	kill, murder, butcher, slice off, split, diminish, reduce, spoil	kill
純	ジュン		あつ, すみ, み, やすし, よし	6	10	1494	1609	1044	genuine, purity, innocence, net (profit)	genuine
鈍	ドン	にぶ.い, にぶ.る, にぶ-, なま.る, なまく.ら		8	12	1495	1611	1574	dull, slow, foolish, blunt	dull
辛	シン	から.い, つら.い, -づら.い, かのと		8	7	1496	1612	1607	spicy, bitter, hot, acrid	spicy
辞	ジ	や.める, いな.む		4	13	1497	1613	633	resign, word, term, expression	resign
梓	シ	あずさ		9	11	1498	1614	2301	catalpa tree, woodblock printing	catalpa
宰	サイ		ただ	8	10	1499	1615	1597	superintend, manager, rule	superintend
壁	ヘキ	かべ		8	16	1500	1616	1037	wall, lining (stomach), fence	wall
避	ヒ	さ.ける, よ.ける		8	16	1501	1618	756	evade, avoid, avert, ward off, shirk, shun	evade
新	シン	あたら.しい, あら.た, あら-, にい-	あせ, あたらし, し, に, にっ, につ, よし	2	13	1502	1619	51	new	new
薪	シン	たきぎ, まき		8	16	1503	1620	2182	fuel, firewood, kindling	fuel/firewood
親	シン	おや, おや-, した.しい, した.しむ	ぎ, ちか, のり	2	16	1504	1621	406	parent, intimacy, relative, familiarity, dealer (cards)	parent
幸	コウ	さいわ.い, さち, しあわ.せ	こ, さき, さし, さっ, とも, ひろ, みゆき, ゆ, ゆき, よし	3	8	1505	1622	786	happiness, blessing, fortune	happiness
執	シツ, シュウ	と.る	し	8	11	1506	1623	800	tenacious, take hold, grasp, take to heart	tenacious
報	ホウ	むく.いる		5	12	1507	1625	167	report, news, reward, retribution	report
叫	キョウ	さけ.ぶ		8	6	1508	1626	1426	shout, exclaim, yell	shout
糾	キュウ	ただ.す		8	9	1509	1627	1820	twist, ask, investigate, verify	twist
収	シュウ	おさ.める, おさ.まる	のぶ	6	4	1510	1628	337	income, obtain, reap, pay, supply, store	income
卑	ヒ	いや.しい, いや.しむ, いや.しめる		8	9	1511	1629	2003	lowly, base, vile, vulgar	lowly
碑	ヒ	いしぶみ		8	14	1512	1630	1792	tombstone, monument	tombstone
陸	リク, ロク	おか	くが, たち, みち, む, むつ	4	11	1513	1631	736	land, six	land
睦	ボク, モク	むつ.まじい, むつ.む, むつ.ぶ	むつ, ちか, よし, あつ, む, むね	8	13	1514	1632	1993	intimate, friendly, harmonious	intimate
勢	セイ, ゼイ	いきお.い, はずみ	せ	5	13	1515	1633	260	forces, energy, military strength	forces
熱	ネツ	あつ.い	あた	4	15	1516	1634	700	heat, temperature, fever, mania, passion	heat
菱	リョウ	ひし		9	11	1517	1635	1229	diamond (shape), water chestnut, rhombus	diamond
陵	リョウ	みささぎ		8	11	1518	1636	1746	mausoleum, imperial tomb, mound, hill	mausoleum
亥	ガイ, カイ	い	り	9	6	1519	1637	0	sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac	sign of the hog
核	カク			8	10	1520	1638	475	nucleus, core, kernel	nucleus
刻	コク	きざ.む, きざ.み		6	8	1521	1639	866	engrave, cut fine, chop, hash, mince, time, carving	engrave
該	ガイ			8	13	1522	1640	1648	above-stated, the said, that specific	above-stated
劾	ガイ			8	8	1523	1642	2085	censure, criminal investigation	censure
述	ジュツ	の.べる		5	8	1524	1643	379	mention, state, speak, relate	mention
術	ジュツ	すべ		5	11	1525	1644	350	art, technique, skill, means, trick, resources, magic	art
寒	カン	さむ.い	さ, さん	3	12	1526	1645	1456	cold	cold
醸	ジョウ	かも.す		8	20	1527	1647	1838	brew, cause	brew
譲	ジョウ	ゆず.る	ゆずり	8	20	1528	1648	984	defer, turnover, transfer, convey	defer
壌	ジョウ	つち		8	16	1529	1649	1407	lot, earth, soil	lot
嬢	ジョウ	むすめ		8	16	1530	1650	2059	lass, girl, Miss, daughter	lass
毒	ドク			4	8	1531	1651	1419	poison, virus, venom, germ, harm, injury, spite	poison
素	ソ, ス	もと		5	10	1532	1652	660	elementary, principle, naked, uncovered	elementary
麦	バク	むぎ		2	7	1533	1653	1615	barley, wheat	barley
青	セイ, ショウ	あお, あお-, あお.い	お	1	8	1534	1654	589	blue, green	blue
精	セイ, ショウ, シヤウ		きよ	5	14	1535	1655	752	refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill	refined
請	セイ, シン, ショウ	こ.う, う.ける	うけ	8	15	1536	1656	524	solicit, invite, ask	solicit
情	ジョウ, セイ	なさ.け		5	11	1537	1657	235	feelings, emotion, passion, sympathy, circumstances, facts	feelings
晴	セイ	は.れる, は.れ, は.れ-, -ば.れ, は.らす	はる, はれ	2	12	1538	1658	1022	clear up	clear up
清	セイ, ショウ, シン	きよ.い, きよ.まる, きよ.める	あき, さや, し, すが, すみ, せ, ちん	4	11	1539	1659	705	pure, purify, cleanse, exorcise, Manchu dynasty	pure
静	セイ, ジョウ	しず-, しず.か, しず.まる, しず.める	しづ	4	14	1540	1660	764	quiet	quiet
責	セキ	せ.める		5	11	1541	1661	598	blame, condemn, censure	blame
績	セキ		み	5	17	1542	1662	820	exploits, achievements, unreeling cocoons	exploits
積	セキ	つ.む, -づ.み, つ.もる, つ.もり	か, さか, しゃこ, ずみ, つみ	4	16	1543	1663	541	volume, product (x*y), acreage, contents, pile up, stack, load, amass	volume
債	サイ			8	13	1544	1664	728	bond, loan, debt	bond
漬	シ	つ.ける, つ.かる, -づ.け, -づけ		8	14	1545	1665	1818	pickling, soak, moisten, steep	pickling
表	ヒョウ	おもて, -おもて, あらわ.す, あらわ.れる, あら.わす		3	8	1546	1666	77	surface, table, chart, diagram	surface
俵	ヒョウ	たわら		5	10	1547	1667	1481	bag, bale, sack, counter for bags	bag
潔	ケツ	いさぎよ.い	きよ, きよし	5	15	1548	1668	1595	undefiled, pure, clean, righteous, gallant	undefiled
契	ケイ	ちぎ.る		8	9	1549	1669	898	pledge, promise, vow	pledge
喫	キツ	の.む		8	12	1550	1670	1347	consume, eat, drink, smoke, receive (a blow)	consume
害	ガイ			4	10	1551	1671	358	harm, injury	harm
轄	カツ	くさび		8	17	1552	1672	1771	control, wedge	control
割	カツ	わ.る, わり, わ.り, わ.れる, さ.く		6	12	1553	1673	318	proportion, comparatively, divide, cut, separate, split	proportion
憲	ケン		かず, のり, よし	6	16	1554	1674	551	constitution, law	constitution
生	セイ, ショウ	い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う	あさ, いき, いく, いけ, うぶ, うまい, え, おい, ぎゅう, くるみ, ごせ, さ, じょう, すぎ, そ, そう, ちる, なば, にう, にゅう, ふ, み, もう, よい, りゅう	1	5	1555	1675	29	life, genuine, birth	life
星	セイ, ショウ	ほし, -ぼし		2	9	1556	1676	844	star, spot, dot, mark	star
姓	セイ, ショウ			8	8	1557	1678	1628	surname	surname
性	セイ, ショウ	さが		5	8	1558	1679	104	sex, gender, nature	sex
牲	セイ			8	9	1559	1680	1274	animal sacrifice, offering	animal sacrifice
産	サン	う.む, う.まれる, うぶ-, む.す	もと	4	11	1560	1681	161	products, bear, give birth, yield, childbirth, native, property	products
隆	リュウ		お, たか, たかし	8	11	1561	1682	1109	hump, high, noble, prosperity	hump
峰	ホウ	みね, ね	ぶ, ほ	8	10	1562	1683	1836	summit, peak	summit
縫	ホウ	ぬ.う	ぬい	8	16	1563	1685	1723	sew, stitch, embroider	sew
拝	ハイ	おが.む, おろが.む		6	8	1564	1686	1443	worship, adore, pray to	worship
寿	ジュ, ス, シュウ	ことぶき, ことぶ.く, ことほ.ぐ	かず, じ, じゅう, すっ, すみ, とし, としかつ, なが, のぶ, のり, ひさ, ひさし, やす	8	7	1565	1687	1245	longevity, congratulations, one's natural life	longevity
鋳	チュウ, イ, シュ, シュウ	い.る		8	15	1566	1688	2005	casting, mint	casting
籍	セキ			8	20	1567	1689	907	enroll, domiciliary register, membership	enroll
春	シュン	はる	あずま, かす, すの, ひ, わら	2	9	1568	1690	579	springtime, spring (season)	springtime
椿	チン, チュン	つばき	つば	9	13	1569	1691	1829	camellia	camellia
泰	タイ		た, はす, ひろ, や, やす, やすし, ゆたか, よし	8	10	1570	1692	1281	peaceful, calm, peace, easy, Thailand, extreme, excessive, great	peaceful
奏	ソウ	かな.でる	すすむ	6	9	1571	1693	1067	play music, speak to a ruler, complete	play music
実	ジツ, シツ	み, みの.る, まこと, みの, みち.る	ぐみ, さね	3	8	1572	1694	68	reality, truth	reality
奉	ホウ, ブ	たてまつ.る, まつ.る, ほう.ずる	とも, やす	8	8	1573	1695	1624	observance, offer, present, dedicate	observance/dedicate
俸	ホウ			8	10	1574	1696	1834	stipend, salary	stipend
棒	ボウ			6	12	1575	1697	1455	rod, stick, cane, pole, club, line	rod
謹	キン	つつし.む		8	17	1576	1698	2068	discreet, reverently, humbly	discreet
勤	キン, ゴン	つと.める, -づと.め, つと.まる, いそ.しむ		6	12	1577	1700	830	diligence, become employed, serve	diligence
漢	カン		はん	3	13	1578	1701	1487	Sino-, China	Sino-
嘆	タン	なげ.く, なげ.かわしい		8	13	1579	1702	1584	sigh, lament, moan, grieve, sigh of admiration	sigh
難	ナン	かた.い, -がた.い, むずか.しい, むづか.しい, むつか.しい, -にく.い	な, なに	6	18	1580	1703	330	difficult, impossible, trouble, accident, defect	difficult
華	カ, ケ	はな	わ	8	10	1581	1704	1085	splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous	splendor
垂	スイ	た.れる, た.らす, た.れ, -た.れ, なんなんと.す	たる, だれ	6	8	1582	1705	1720	droop, suspend, hang, slouch	droop
睡	スイ	ねむ.る, ねむ.い		8	13	1583	1707	1739	drowsy, sleep, die	drowsy
錘	スイ	つむ, おもり		9	16	1584	1708	0	weight, plumb bob, sinker, spindle	spindle
乗	ジョウ, ショウ	の.る, -の.り, の.せる	のり	3	9	1585	1709	377	ride, power, multiplication, record, counter for vehicles, board, mount, join	ride
剰	ジョウ	あまつさえ, あま.り, あま.る		8	11	1586	1710	1448	surplus, besides	surplus
今	コン, キン	いま	な	2	4	1587	1711	49	now	now
含	ガン	ふく.む, ふく.める		8	7	1588	1712	466	contain, include, hold in the mouth, bear in mind, understand, cherish	include
吟	ギン			8	7	1589	1714	1956	versify, singing, recital	versify
念	ネン			4	8	1590	1715	390	wish, sense, idea, thought, feeling, desire, attention	wish
琴	キン	こと		8	12	1591	1717	1591	harp, koto	harp
陰	イン	かげ, かげ.る		8	11	1592	1718	1393	shade, yin, negative, sex organs, secret, shadow	shade
予	ヨ, シャ	あらかじ.め		3	4	1593	1719	180	beforehand, previous, myself, I	beforehand
序	ジョ	つい.で, ついで	つぐ	5	7	1594	1720	1160	preface, beginning, order, precedence, occasion, chance, incidentally	preface
預	ヨ	あず.ける, あず.かる		5	13	1595	1721	981	deposit, custody, leave with, entrust to	deposit
野	ヤ, ショ	の, の-	ずけ, つけ, ぬ	2	11	1596	1722	120	plains, field, rustic, civilian life	plains
兼	ケン	か.ねる, -か.ねる	かね	8	10	1597	1723	1164	concurrently, and, beforehand, in advance	concurrently
嫌	ケン, ゲン	きら.う, きら.い, いや		8	13	1598	1724	1207	dislike, detest, hate	dislike
鎌	レン, ケン	かま	かた, かね	8	18	1599	1725	1587	sickle, scythe, trick	sickle
謙	ケン	へりくだ.る	かね, ゆずる	8	17	1600	1726	1582	self-effacing, humble oneself, condescend, be modest	self-effacing
廉	レン		きよ	8	13	1601	1727	2066	bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful	bargain
西	セイ, サイ, ス	にし	いり, ひし, むら	2	6	1602	1728	259	west, Spain	west
価	カ, ケ	あたい		5	8	1603	1729	250	value, price	value
要	ヨウ	い.る, かなめ	とし	4	9	1604	1730	106	need, main point, essence, pivot, key to	need
腰	ヨウ	こし	うすぐ	8	13	1605	1731	1306	loins, hips, waist, low wainscoting	loins
票	ヒョウ			4	11	1606	1732	489	ballot, label, ticket, sign	ballot
漂	ヒョウ	ただよ.う		8	14	1607	1733	1492	drift, float (on liquid)	drift
標	ヒョウ	しるべ, しるし	しべ	4	15	1608	1734	686	signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target	signpost
栗	リツ, リ	くり, おののく	くる, りっ	9	10	1609	1735	1550	chestnut	chestnut
遷	セン	うつ.る, うつ.す, みやこがえ		8	15	1610	1737	1937	transition, move, change	transition
覆	フク	おお.う, くつがえ.す, くつがえ.る		8	18	1611	1738	1378	capsize, cover, shade, mantle, be ruined	capsize
煙	エン	けむ.る, けむり, けむ.い	たば	8	13	1612	1739	1290	smoke	smoke
南	ナン, ナ	みなみ	なみ, は, みな, みまみ	2	9	1613	1740	341	south	south
楠	ナン, ダン, ゼン, ネン	くす, くすのき	くず, な	9	13	1614	1741	1927	camphor tree	camphor tree
献	ケン, コン	たてまつ.る		8	13	1615	1742	637	offering, counter for drinks, present, offer	offering
門	モン	かど, と	じょう, も, と, ゆき	2	8	1616	1743	452	gate, counter for cannons	gates
問	モン	と.う, と.い, とん	はる	3	11	1617	1744	64	question, ask, problem	question
閲	エツ	けみ.する		8	15	1618	1745	1855	review, inspection, revision	review
閥	バツ			8	14	1619	1746	1072	clique, lineage, pedigree, faction, clan	clique
間	カン, ケン	あいだ, ま, あい	ちか, は, はざ, はし	2	12	1620	1747	33	interval, space	interval
簡	カン, ケン	えら.ぶ, ふだ		6	18	1621	1749	983	simplicity, brevity	simplicity
開	カイ	ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける	はる, か, ひらき	3	12	1622	1750	59	open, unfold, unseal	open
閉	ヘイ	と.じる, と.ざす, し.める, し.まる, た.てる	へ	6	11	1623	1751	951	closed, shut	closed
閣	カク			6	14	1624	1752	444	tower, tall building, palace	tower
閑	カン		が, より	8	12	1625	1753	1994	leisure	leisure
聞	ブン, モン	き.く, き.こえる		2	14	1626	1754	319	hear, ask, listen	hear
潤	ジュン	うるお.う, うるお.す, うる.む	めぐみ	8	15	1627	1755	1644	wet, be watered, profit by, receive benefits, favor, charm, steep	wet
欄	ラン	てすり		8	20	1628	1756	1523	column, handrail, blank, space	column
闘	トウ	たたか.う, あらそ.う	と	8	18	1629	1757	751	fight, war	fight
倉	ソウ	くら		4	10	1630	1758	1114	godown, warehouse, storehouse, cellar, treasury	godown
創	ソウ, ショウ	つく.る, はじ.める, きず, けず.しける	はじめ	6	12	1631	1759	741	genesis, wound, injury, hurt, start, originate	genesis
非	ヒ	あら.ず		5	8	1632	1760	472	un-, mistake, negative, injustice, non-	un-
俳	ハイ			6	10	1633	1761	1137	haiku, actor	haiku
排	ハイ		おし	8	11	1634	1762	1047	repudiate, exclude, expel, reject, line up, arrange	repudiate
悲	ヒ	かな.しい, かな.しむ		3	12	1635	1763	1014	grieve, sad, deplore, regret	sad
罪	ザイ	つみ		5	13	1636	1764	732	guilt, sin, crime, fault, blame, offense	guilt
輩	ハイ	-ばら, やから, やかい, ともがら		8	15	1637	1765	1365	comrade, fellow, people, companions	comrade
扉	ヒ	とびら		8	12	1638	1766	1866	front door, title page, front page	front door
侯	コウ			8	9	1639	1767	2363	marquis, lord, daimyo	marquis
候	コウ	そうろう		4	10	1640	1769	510	climate, season, weather, wait for, expect	climate
決	ケツ	き.める, -ぎ.め, き.まる, さ.く		3	7	1641	1770	71	decide, fix, agree upon, appoint	decide
快	カイ	こころよ.い	よし	5	7	1642	1771	1074	cheerful, pleasant, agreeable, comfortable	cheerful
偉	イ	えら.い	ひで	8	12	1643	1772	1639	admirable, greatness, remarkable, conceited, famous, excellent	admirable
違	イ	ちが.う, ちが.い, ちが.える, -ちが.える, たが.う, たが.える		8	13	1644	1773	344	difference, differ	difference
緯	イ	よこいと, ぬき		8	16	1645	1774	1430	horizontal, woof, left & right, (parallels of) latitude, prediction	horizontal
衛	エイ, エ		もり, い, まもる	5	16	1646	1775	400	defense, protection	defense
韓	カン	から, いげた		8	18	1647	1776	445	Korea	Korea
干	カン	ほ.す, ほ.し-, -ぼ.し, ひ.る	ほし	6	3	1648	1777	1349	dry, parch, ebb, recede, interfere, intercede	dry
肝	カン	きも		8	7	1649	1778	1118	liver, pluck, nerve, chutzpah	liver
刊	カン			5	5	1650	1779	855	publish, carve, engrave	publish
汗	カン	あせ		8	6	1651	1780	1502	sweat, perspire	sweat
軒	ケン	のき		8	10	1652	1781	1416	flats, counter for houses, eaves	flats
岸	ガン	きし	けし	3	8	1653	1782	556	beach	beach
幹	カン	みき	つよし, まさ, もと, えだ, き, くる, たかし, つね, とも, み, もとき, よし, より	5	13	1654	1783	364	tree trunk	tree-trunk
芋	ウ	いも		8	6	1655	1784	2418	potato	potato
宇	ウ		いえ, たか, ひろ, ひろし	6	6	1656	1785	883	eaves, roof, house, heaven	eaves
余	ヨ	あま.る, あま.り, あま.す, あんま.り	あまる	5	7	1657	1786	680	too much, myself, surplus, other, remainder	too much
除	ジョ, ジ	のぞ.く, -よ.け		6	10	1658	1787	594	exclude, division (x/3), remove, abolish, cancel, except	exclude
徐	ジョ	おもむ.ろに		8	10	1659	1788	1470	gradually, slowly, deliberately, gently	gradually
叙	ジョ	つい.ず, ついで		8	9	1660	1789	1954	confer, relate, narrate, describe	confer
途	ト	みち		8	10	1661	1790	717	route, way, road	route
斜	シャ	なな.め, はす		8	11	1662	1791	1504	diagonal, slanting, oblique	diagonal
塗	ト	ぬ.る, ぬ.り, まみ.れる		8	13	1663	1792	1414	paint, plaster, daub, smear, coating	paint
束	ソク	たば, たば.ねる, つか, つか.ねる		4	7	1664	1793	918	bundle, sheaf, ream, tie in bundles, govern, manage, control	bundle
頼	ライ	たの.む, たの.もしい, たよ.る	よち, より	8	16	1665	1794	708	trust, request	trust
瀬	ライ	せ	いわた, がせ, しげ, せい, せっ	8	19	1666	1795	1152	rapids, current, torrent, shallows, shoal	rapids
勅	チョク	いまし.める, みことのり	て, のり	8	9	1667	1796	2157	imperial order	imperial order
疎	ソ, ショ	うと.い, うと.む, まば.ら		8	12	1668	1797	1572	alienate, rough, neglect, shun, sparse, penetrate	alienate
速	ソク	はや.い, はや-, はや.める, すみ.やか	わ	3	10	1669	1799	576	quick, fast	quick
整	セイ	ととの.える, ととの.う	ひとし	3	16	1670	1800	478	organize, arranging, tune, tone, meter, key (music)	organize
剣	ケン	つるぎ		8	10	1671	1801	1305	sabre, sword, blade, clock hand	sabre/saber
険	ケン	けわ.しい		5	11	1672	1802	707	precipitous, inaccessible place, impregnable position, steep place, sharp eyes	precipitous
検	ケン	しら.べる		5	12	1673	1803	290	examination, investigate	examination
倹	ケン	つま.しい, つづまやか		8	10	1674	1804	2479	frugal, economy, thrifty	frugal
重	ジュウ, チョウ	え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも	さね, しげ, しげる	3	9	1675	1805	193	heavy, heap up, pile up, nest of boxes, -fold	heavy
動	ドウ	うご.く, うご.かす	るぎ	3	11	1676	1806	73	move, motion, change, confusion, shift, shake	move
勲	クン	いさお	いさむ	8	15	1677	1808	1513	meritorious deed, merit	meritorious deed
働	ドウ, リュク, リキ, ロク, リョク	はたら.く		4	13	1678	1809	417	work, (kokuji)	work
種	シュ	たね, -ぐさ	おい, くさ, た, ほ	4	14	1679	1810	461	species, kind, class, variety, seed	species
衝	ショウ	つ.く		8	15	1680	1811	972	collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick	collide
薫	クン	かお.る	かおり, かおる, かほ, かほる, くに, しげ, にほ, のぶ, よし	8	16	1681	1812	1849	send forth fragrance, fragrant, be scented, smoke (tobacco)	fragrant
病	ビョウ, ヘイ	や.む, -や.み, やまい		3	10	1682	1813	384	ill, sick	ill
痴	チ	し.れる, おろか		8	13	1683	1814	1663	stupid, foolish	stupid
痘	トウ			8	12	1684	1815	0	pox, smallpox	pox
症	ショウ			8	10	1685	1816	1111	symptoms, illness	symptoms
疾	シツ	はや.い		8	10	1686	1819	1577	rapidly	rapidly
痢	リ			8	12	1687	1821	2037	diarrhea	diarrhea
疲	ヒ	つか.れる, -づか.れ, つか.らす		8	10	1688	1823	1263	exhausted, tire, weary	exhausted/tired
疫	エキ, ヤク			8	9	1689	1824	1661	epidemic	epidemic
痛	ツウ	いた.い, いた.む, いた.ましい, いた.める		6	12	1690	1825	903	pain, hurt, damage, bruise	pain
癖	ヘキ	くせ, くせ.に		8	18	1691	1826	1973	mannerism, habit, vice, trait, fault, kink	mannerism
匿	トク	かくま.う		8	10	1692	1827	2024	hide, shelter, shield	hide
匠	ショウ	たくみ		8	6	1693	1828	1718	artisan, workman, carpenter	artisan
医	イ	い.やす, い.する, くすし		3	7	1694	1829	437	doctor, medicine	doctor
匹	ヒツ	ひき		8	4	1695	1830	1384	equal, head, counter for small animals, roll of cloth	equal
区	ク, オウ, コウ			3	4	1696	1831	137	ward, district	ward
枢	スウ, シュ	とぼそ, からくり		8	8	1697	1832	1791	hinge, pivot, door	hinge
殴	オウ	なぐ.る		8	8	1698	1833	1622	assault, hit, beat, thrash	assault
欧	オウ	うた.う, は.く	おお, ひろ	8	8	1699	1834	421	Europe	Europe
抑	ヨク	おさ.える		8	7	1700	1835	834	repress, well, now, in the first place, push, shove, press, seal, do in spite of	repress
仰	ギョウ, コウ	あお.ぐ, おお.せ, お.っしゃる, おっしゃ.る		8	6	1701	1836	1573	face-up, look up, depend, seek, respect, rever, drink, take	face-up
迎	ゲイ	むか.える	むかえ	8	7	1702	1837	625	welcome, meet, greet	welcome
登	トウ, ト, ドウ, ショウ, チョウ	のぼ.る, あ.がる	たか, のぼし, のぼり, のり	3	12	1703	1838	566	ascend, climb up	ascend
澄	チョウ	す.む, す.ます, -す.ます	きよ, すす, すみ, み	8	15	1704	1839	1722	lucidity, be clear, clear, clarify, settle, strain, look grave	lucidity
発	ハツ, ホツ	た.つ, あば.く, おこ.る, つか.わす, はな.つ	ば, わ	3	9	1705	1840	32	departure, discharge, publish, emit, start from, disclose, counter for gunshots	discharge
廃	ハイ	すた.れる, すた.る		8	12	1706	1841	698	abolish, obsolete, cessation, discarding, abandon	abolish
僚	リョウ			8	14	1707	1842	709	colleague, official, companion	colleague
寮	リョウ			8	15	1708	1844	1705	dormitory, hostel, villa, tea pavillion	dormitory
療	リョウ			8	17	1709	1845	600	heal, cure	heal
彫	チョウ	ほ.る, -ぼ.り		8	11	1710	1846	1533	carve, engrave, chisel	carve
形	ケイ, ギョウ	かた, -がた, かたち, なり	ち	2	7	1711	1847	418	shape, form, style	shape
影	エイ	かげ		8	15	1712	1848	464	shadow, silhouette, phantom	shadow
杉	サン	すぎ		8	7	1713	1849	1095	cedar, cryptomeria	cedar
彩	サイ	いろど.る	あや, さ, さえ, つや	8	11	1714	1850	1251	coloring, paint, makeup	coloring
彰	ショウ		あき, あきら	8	14	1715	1851	1310	patent, clear	patent
彦	ゲン	ひこ	よし, こ, ひろ, やす	9	9	1716	1852	1117	lad, boy (ancient)	lad
顔	ガン	かお		2	18	1717	1853	676	face, expression	face
須	ス, シュ	すべから.く, すべし, ひげ, まつ, もち.いる, もと.める	もとむ, ぞ	8	12	1718	1854	1339	ought, by all means, necessarily	ought
膨	ボウ	ふく.らむ, ふく.れる		8	16	1719	1855	1293	swell, get fat, thick	swell
参	サン, シン	まい.る, まい-, まじわる, みつ	み	4	8	1720	1856	201	nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in	nonplussed/visit
惨	サン, ザン	みじ.め, いた.む, むご.い		8	11	1721	1857	1463	wretched, disaster, cruelty, harsh	wretched
修	シュウ, シュ	おさ.める, おさ.まる	おき, なが, のぶ, おさむ	5	10	1722	1858	603	discipline, conduct oneself well, study, master	discipline
珍	チン	めずら.しい, たから	じん	8	9	1723	1859	1330	rare, curious, strange	rare
診	シン	み.る		8	12	1724	1860	1019	checkup, seeing, diagnose, examine	check-up
文	ブン, モン	ふみ, あや	かざり, ふ, も	1	4	1725	1861	190	sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)	sentence
対	タイ, ツイ	あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う	つし	3	7	1726	1862	34	vis-a-vis, opposite, even, equal, versus, anti-, compare	vis-a-vis
紋	モン		あや	8	10	1727	1863	1519	family crest, figures	family crest
蚊	ブン	か		8	10	1728	1864	2121	mosquito	mosquito
斉	セイ, サイ	そろ.う, ひと.しい, ひと.しく, あたる, はやい	ただ, なり, ひと, ひとし	8	8	1729	1866	1209	adjusted, alike, equal, similar variety of	adjusted
